0: 540,286,466
789: 357,330,791,456,684,559,810,571
790: 662,566,294
791: 357,789,330,737,507,684,381,414,685,810
792: 780,628,392,229,846,812
793: 526,535,132,578
794: 61,123,847,357,368,588,795
795: 61,794,588,497,637,198
796: 226,350,820,570,774,327,845
797: 412,187,612,602,728,332,113,634,803
798: 74,239,585,519,742,591
799: 354,524,621,734,86,654,284
800: 159,329,34,7,710,577,243,531
801: 146,142,317,584
802: 2,617,39,194,322,165
803: 634,332,113,376,797
804: 711,642,611,80,295,143,191,26,623,501
805: 515,713,322,177,347
806: 730
807: 783,575
808: 614,625,735,50,378,180,249,339
809: 303,237,437,516,600,568,23,128,732,75
810: 149,527,559,789,330,791,685,31,475,647
811: 188,138,259,150,346,173,362,169
812: 792,698,741,392,229,128
813: 34,567,158,355,278,821,14
814: 648,289
815: 363,328,91,188,775,349,385,659,86
816: 726,318,60,252,530,423
817: 604,26,627,228,338
818: 
819: 705,127,589,617,54,767,495,165
820: 796,570,774,599,687,416
